年度,學號,
106,04111171,"A,S,C"
106,04111188,"C,E,I,S"
106,04111214,"A,I,R"
106,04111228,"A,I,C"
106,04111244,"A,E,S"
106,04111247,"C,A,I"
106,04111249,"A,I"
106,04111254,"C,A,S"
106,04111255,"S,A,E"
106,04111272,"A,C,R"
106,04111284,"A,E,R"
106,04111286,"I,C,E"
106,04111287,"A,S"
106,04111288,"A,I,C"
106,04111301,"I,S,A"
106,04111302,"C,A"
106,04111303,"E,A,C"
106,04111304,A
106,04111307,"C,E,I"
106,04111309,"A,C,I"
106,04111314,"I,A,S"
106,04111316,"A,R,C"
106,04111317,"A,E,R"
106,04111323,"I,S,C"
106,04111326,"A,C,S"
106,04111328,"A,I"
106,04111329,"A,C"
106,04111330,"S,E"
106,04111332,"C,S,R"
106,04111333,"I,S,A"
106,04111334,"A,S"
106,04111335,"A,I"
106,04111338,"C,R,S"
106,04111340,"C,A,S"
106,04111342,"C,S,A"
106,04111343,"A,C,I"
106,04111344,"E,C,S"
106,04111348,"A,C,I"
106,04111350,"S,A,C,I"
106,04111353,"A,I"
106,04111354,"A,C,R"
106,04111355,"C,A,R"
106,04111356,"E,A,I,R"
106,04111358,"S,R"
106,04111359,"A,C,I"
106,04111360,"S,A"
106,04112001,"E,I,R"
106,04112004,"E,I,S"
106,04112009,"R,A,C"
106,04112016,"A,I,R,S"
106,04112018,"S,I,R"
106,04112019,"C,A"
106,04112023,"A,S,E"
106,04112026,"A,R"
106,04112027,"E,I"
106,04112029,"C,I,R"
106,04112030,"A,C"
106,04112032,"C,A"
106,04112033,"C,E,I,S"
106,04112034,"A,S,C"
106,04112036,"C,R,A,S"
106,04112038,"C,I"
106,04112039,"A,C,S"
106,04112040,"C,I,R"
106,04112041,"S,A"
106,04112043,"A,I"
106,04112044,"C,I,S"
106,04112045,"A,S"
106,04112046,"A,S,I"
106,04112049,"E,S"
106,04112053,"A,C,E"
106,04112054,"S,I,R"
106,04112055,"A,E,C,S"
106,04112057,"A,R,E"
106,04112058,"E,I"
106,04112059,"S,E"
106,04112062,"C,I,R"
106,04112071,"I,R,S"
106,04112075,"E,S,C"
106,04112076,"S,C,I"
106,04112079,"A,E"
106,04112081,"A,E"
106,04112082,"S,I"
106,04112083,"S,C,I"
106,04112089,"C,R"
106,04112171,"S,C,R"
106,04112172,"S,C"
106,04112901,"A,I"
106,04113004,"S,I,R"
106,04113013,"E,C,S"
106,04113017,"C,R,E"
106,04113019,"A,I,S"
106,04113020,"E,C,R"
106,04113021,"E,S"
106,04113025,"C,E,S"
106,04113028,"C,A,I"
106,04113033,"A,I"
106,04113037,"C,I,S"
106,04113039,"C,I,R"
106,04113047,"S,A,E"
106,04113052,"A,I,R"
106,04113053,"S,A,I"
106,04113054,"A,I,R"
106,04113057,"S,A,C"
106,04113060,"A,I"
106,04113061,"C,A,I"
106,04113071,"C,R,S"
106,04113073,"I,R,S"
106,04113075,"I,R,A,C"
106,04113077,"A,I,R"
106,04113078,"A,R,S"
106,04113079,"I,C"
106,04113081,"I,C,R"
106,04113082,"E,A,I"
106,04113083,"I,A,S"
106,04113084,"E,A"
106,04113086,"E,I,S"
106,04113088,"A,I"
106,04113176,"S,A,E,I"
106,04113177,"I,S"
106,04114101,"C,E"
106,04114104,"A,S,E,I"
106,04114290,"S,A"
106,04115102,"E,S"
106,04115104,"I,C,S"
106,04115110,"C,I,R,S"
106,04115118,"E,C,S"
106,04115127,"E,S,C"
106,04115129,"S,A,C"
106,04115130,"A,I"
106,04115131,"S,C,A"
106,04115134,"E,S,C"
106,04115135,"S,I"
106,04115138,"A,E,I"
106,04115139,"S,C,E"
106,04115142,"S,E,A"
106,04115145,"C,E,A"
106,04115148,"I,S"
106,04115150,"A,C,I"
106,04115156,"C,I,S"
106,04115158,"E,S"
106,04115160,"E,C,I,R"
106,04115161,"S,C,E"
106,04115172,"R,I,C"
106,04115173,"A,S"
106,04115175,"S,E,A"
106,04115202,"E,C,R,S"
106,04115205,"E,S,C"
106,04115206,"I,C,R,S"
106,04115207,"C,I,R"
106,04115209,"S,A"
106,04115211,"S,A,E"
106,04115213,"C,A,I"
106,04115214,"A,E"
106,04115215,"S,C,A"
106,04115217,"C,S"
106,04115218,"S,E"
106,04115221,"E,A,C"
106,04115223,"C,E,I,S"
106,04115224,"C,E,I,S"
106,04115226,"A,I,C"
106,04115227,"A,S,I"
106,04115228,"A,E,C"
106,04115229,"C,E,R"
106,04115230,"C,S"
106,04115231,"I,R,A,S"
106,04115232,"A,S,E"
106,04115234,"C,S"
106,04115235,"S,A,E,I"
106,04115236,"C,E"
106,04115239,"S,A,I"
106,04115240,"E,A,S"
106,04115241,"S,E"
106,04115242,"A,E,S"
106,04115243,"E,C,I,S"
106,04115244,"S,C,E"
106,04115245,"E,S,C"
106,04115246,"A,E,C"
106,04115247,"S,A"
106,04115248,"E,S,C"
106,04115249,"A,E,I"
106,04115250,"A,E,S"
106,04115251,"E,I,R"
106,04115252,"C,A"
106,04115254,"E,S,C"
106,04115257,"S,C"
106,04115258,"S,E,A"
106,04115259,"S,A,E"
106,04115272,"S,R,A"
106,04115273,"R,I"
106,04115276,"A,S"
106,04115281,"S,E,I"
106,04115282,"I,C,R"
106,04115283,"C,S,A,I"
106,04115501,"I,C,R"
106,04115601,"A,C,I"
106,04116101,"E,R"
106,04116104,"S,C,E"
106,04116112,"C,E"
106,04116135,"A,S"
106,04116149,"A,E,R"
106,04116154,"A,I,R"
106,04116159,E
106,04116161,"S,C,E"
106,04116162,"I,A,C"
106,04116175,"S,E,C"
106,04116179,"S,A"
106,04116181,"A,S"
106,04116182,"S,C,E"
106,04116183,"S,A"
106,04116204,"C,A"
106,04116219,"S,A,E"
106,04116229,"A,C,I"
106,04116230,"S,C,I"
106,04116231,"S,A,E,R"
106,04116235,"S,I,C"
106,04116238,"S,A,E"
106,04116240,"S,C"
106,04116255,"A,S,R"
106,04116258,"A,C,S"
106,04116277,"A,S,I"
106,04116283,"A,I,S"
