年度,學號,
107,07156259,A
107,07156258,"I,R,A"
107,07156257,"A,C,S"
107,07156256,"C,E"
107,07156255,"E,I,R"
107,07156254,"E,R"
107,07156253,"A,E,R,S"
107,07156252,"R,I"
107,07156251,"R,I,C"
107,07156250,"S,A,E,R"
107,07156249,"S,C"
107,07156248,"R,C"
107,07156247,"R,A,S"
107,07156245,"A,I,S"
107,07156244,"R,A,I"
107,07156243,"A,R"
107,07156242,"C,R,S"
107,07156241,A
107,07156240,"C,I,R"
107,07156239,"E,C"
107,07156237,"I,R,A"
107,07156236,"R,C,S"
107,07156235,"A,I,R"
107,07156234,"E,A"
107,07156231,"A,I,R"
107,07156230,"A,R,C"
107,07156229,"I,A"
107,07156228,"I,A,R,S"
107,07156226,"S,A,E"
107,07156225,"R,S,C,I"
107,07156224,"R,E,S"
107,07156223,"S,R,C"
107,07156221,"R,C,I,S"
107,07156220,"R,I"
107,07156219,"I,R,A,S"
107,07156218,"A,R,S"
107,07156217,"A,S"
107,07156216,"S,A,R"
107,07156214,"S,R"
107,07156213,"R,S,A"
107,07156212,"I,S,A,R"
107,07156211,"C,R,A"
107,07156210,"S,R"
107,07156208,"S,R,C"
107,07156207,"S,R"
107,07156206,"S,E"
107,07156204,"S,C,R"
107,07156203,"S,A,R"
107,07156171,"I,C"
107,07156160,"S,C,E"
107,07156159,"A,S,R"
107,07156158,"S,A,I,R"
107,07156157,"I,R,E"
107,07156155,"S,E"
107,07156154,"R,E,C"
107,07156153,"C,I,R,S"
107,07156152,"A,C,I"
107,07156149,"I,R,S"
107,07156148,E
107,07156147,"R,C,E,I"
107,07156146,"C,I,S"
107,07156145,"R,I,S"
107,07156144,"C,I"
107,07156143,"S,I"
107,07156142,"R,I,S"
107,07156140,"A,R"
107,07156139,"I,R"
107,07156138,"I,C,E,S"
107,07156137,"S,I,R"
107,07156136,"E,R,S"
107,07156135,"E,I"
107,07156134,"I,R,E"
107,07156132,C
107,07156131,"E,S"
107,07156130,"R,A,I"
107,07156128,"I,C,A"
107,07156127,"C,A,I"
107,07156125,"S,C,I,R"
107,07156124,"C,E"
107,07156123,"R,C"
107,07156122,"E,S,A,I"
107,07156119,"E,I"
107,07156118,"S,E"
107,07156117,"I,R,C"
107,07156115,"A,R,C,E"
107,07156113,"A,E,R,S"
107,07156112,"I,S,C,E"
107,07156110,"E,C"
107,07156108,"A,C,S"
107,07156107,"C,R,I"
107,07156106,"E,S,I"
107,07156105,"A,E,R"
107,07156104,"I,C,R"
107,07156103,"R,C,I"
107,07156102,"C,R,S"
107,07156101,"I,C,R"
107,07155701,"C,R,S"
107,07155357,"R,I"
107,07155356,"R,C,S"
107,07155354,"A,S"
107,07155352,"I,R,S"
107,07155351,"R,A,I"
107,07155350,"C,I,R"
107,07155349,"R,A,I,S"
107,07155348,"C,A,I,R"
107,07155347,"I,R,S"
107,07155346,"S,R"
107,07155345,C
107,07155344,"C,R,S"
107,07155343,"C,S"
107,07155342,"E,S,C"
107,07155341,"C,R,S"
107,07155340,"A,I,S"
107,07155339,"I,R,A,C"
107,07155337,"C,R,S"
107,07155336,"E,C,R"
107,07155335,"C,R,A"
107,07155334,"R,S,A"
107,07155333,"R,C"
107,07155332,"I,R,S"
107,07155331,"S,C"
107,07155330,"C,E"
107,07155329,"E,S,C"
107,07155328,"A,S,C,R"
107,07155327,"I,R,S"
107,07155325,"C,I"
107,07155324,"S,C,I"
107,07155322,"C,S,A,I"
107,07155321,"R,C,A"
107,07155319,"C,R,S"
107,07155318,"A,R,I"
107,07155317,"I,R"
107,07155315,"A,E,S"
107,07155314,"S,E,C"
107,07155313,C
107,07155312,"C,E,S"
107,07155308,"S,A,C"
107,07155307,"R,C,S"
107,07155306,"A,E,C,I"
107,07155305,"E,C,I"
107,07155304,"C,I,A,E"
107,07155258,"S,R,I"
107,07155257,"R,S,C"
107,07155256,"R,C,I"
107,07155255,"S,C,I"
107,07155254,"A,R"
107,07155253,"A,I,R"
107,07155252,"C,E,I"
107,07155251,"C,I,R"
107,07155249,"R,E,I"
107,07155247,"A,C,I,S"
107,07155246,"S,R"
107,07155245,"C,S"
107,07155243,"S,C"
107,07155242,"R,S"
107,07155241,"C,I,R"
107,07155240,"C,I,R"
107,07155239,"C,I,E,S"
107,07155238,"R,A,C,S"
107,07155237,"A,S,E"
107,07155235,"I,R,A"
107,07155234,"C,S"
107,07155233,"R,I,S"
107,07155232,"C,A,I,R"
107,07155231,"C,I"
107,07155229,"R,S"
107,07155228,"R,C,I"
107,07155227,"C,S,A"
107,07155226,"C,R,S"
107,07155225,"C,S"
107,07155224,"I,R,S"
107,07155223,"R,S,C"
107,07155222,"S,C,R"
107,07155220,"C,I,S"
107,07155219,"E,R,S"
107,07155218,"A,C,S"
107,07155217,"R,I,C"
107,07155215,"C,R,A"
107,07155214,"C,A,I,R"
107,07155213,"I,C,R"
107,07155212,"C,A"
107,07155211,E
107,07155209,"E,S"
107,07155207,"C,I,R"
107,07155206,"R,A"
107,07155205,"S,C,R"
107,07155204,"C,R,I,S"
107,07155202,"C,R"
107,07155201,"A,R"
107,07155171,"C,I,A,R"
107,07155158,"C,A,R"
107,07155157,"C,I,R"
107,07155156,"C,S"
107,07155155,"C,R,S"
107,07155154,"R,A,S"
107,07155153,"R,C,I,S"
107,07155152,"A,I,R"
107,07155151,"A,E"
107,07155150,"I,S,C"
107,07155149,"R,C,I"
107,07155148,"A,I,E"
107,07155147,"C,S"
107,07155146,"A,I,R"
107,07155145,"I,R,S"
107,07155144,"A,C,R"
107,07155143,"A,I,R,S"
107,07155142,"C,I,R"
107,07155141,"C,I,R"
107,07155140,"I,R,S"
107,07155139,"C,A,I,S"
107,07155138,"C,I,R"
107,07155135,"S,E,I"
107,07155134,"I,C,R"
107,07155133,"C,S,I,R"
107,07155132,"R,I,E"
107,07155131,"A,I,S"
107,07155130,"C,I,A,E"
107,07155129,"S,I"
107,07155128,"R,I"
107,07155127,"R,C,I"
107,07155126,"R,C,S"
107,07155125,"I,R,C"
107,07155124,"R,C,I"
107,07155123,"A,I,R"
107,07155122,"C,E"
107,07155121,"C,I,R"
107,07155119,"A,S,E"
107,07155118,"R,A,E"
107,07155117,"R,C"
107,07155116,"C,I,R"
107,07155115,"I,C"
107,07155113,E
107,07155112,"R,I,S"
107,07155110,"C,E,S"
107,07155109,"C,R,I"
107,07155108,"R,C"
107,07155107,"I,R"
107,07155106,"I,C,R"
107,07155105,"I,R,C"
107,07155104,"I,R,C"
107,07155102,"I,R"
107,07155101,"C,I,E,S"
107,07154601,"I,S,A"
107,07154501,"I,S,C,R"
107,07154272,"A,E,S"
107,07154271,"S,C,E,I"
107,07154260,"C,E,R,S"
107,07154259,"R,S,C,I"
107,07154258,"R,S,E"
107,07154257,"S,R"
107,07154256,"A,E,R,S"
107,07154255,"R,E,I,S"
107,07154254,"R,A,E"
107,07154253,"C,R"
107,07154251,"I,R,A"
107,07154250,"C,S"
107,07154249,"C,I,S"
107,07154248,"S,E"
107,07154247,"S,E,R"
107,07154245,"C,S,R"
107,07154242,"E,S"
107,07154241,"R,E,S"
107,07154239,"S,A,R"
107,07154238,"R,S,A,C"
107,07154237,"A,C,S"
107,07154236,"S,R"
107,07154235,"S,C"
107,07154234,"E,S,R"
107,07154233,"S,C,R"
107,07154231,"C,E,I"
107,07154230,"A,S,I"
107,07154229,"S,C,R"
107,07154228,"A,R,C"
107,07154227,"S,A,E,R"
107,07154226,"S,C,E,R"
107,07154225,"C,S,E"
107,07154224,"A,S,C"
107,07154223,"E,R,S"
107,07154222,"S,A"
107,07154221,"A,E,S"
107,07154220,"A,S,R"
107,07154219,"A,I,S"
107,07154218,"R,I,S"
107,07154217,"S,A,E"
107,07154216,"C,R"
107,07154214,"C,S,E,R"
107,07154213,"R,S,C,E"
107,07154210,"A,S,I"
107,07154209,"C,S"
107,07154208,"E,S,A"
107,07154207,"S,C,R"
107,07154206,"R,C"
107,07154205,"S,I"
107,07154203,"I,S"
107,07154202,"C,E,R,S"
107,07154201,"R,E"
107,07154171,"I,C,S"
107,07154161,"R,I,A"
107,07154160,"I,S,C"
107,07154159,"E,A,S"
107,07154158,"S,C,E,I"
107,07154157,"E,S,A,R"
107,07154156,"A,S"
107,07154154,"E,S,R"
107,07154153,"E,S,A"
107,07154152,"A,S"
107,07154151,"I,R,S"
107,07154149,"E,S,R"
107,07154148,"C,S"
107,07154147,"S,C,E"
107,07154146,"E,I,S"
107,07154144,"E,S,R"
107,07154143,"C,S,E"
107,07154142,"I,S,A"
107,07154141,"A,C,R"
107,07154140,"C,E,I"
107,07154139,"A,E,S"
107,07154137,"C,I,S"
107,07154136,"A,C,R"
107,07154135,"R,C,E,S"
107,07154134,"C,S,R"
107,07154133,"A,I,S"
107,07154132,"C,E"
107,07154131,"S,E,I"
107,07154130,"S,C,I"
107,07154129,"I,S"
107,07154128,"R,A,S"
107,07154127,"R,S,E"
107,07154126,"S,E,R"
107,07154125,"R,I"
107,07154124,"I,C,E,S"
107,07154123,"E,I,R,S"
107,07154122,"E,I,S"
107,07154121,"C,E,I,R"
107,07154120,"A,C,I"
107,07154119,"I,A,R,S"
107,07154118,"A,R"
107,07154117,"A,I,R,S"
107,07154116,"E,A,S"
107,07154114,"A,E,C,S"
107,07154113,"E,S"
107,07154111,"R,E,I"
107,07154110,"A,I,R"
107,07154108,"E,I,R,S"
107,07154106,"E,C,S"
107,07154105,"R,S"
107,07154104,"S,C"
107,07154103,"I,R,E"
107,07153801,"R,I,S"
107,07153457,"S,E,R"
107,07153456,"C,E,I"
107,07153455,"S,A,C,E"
107,07153454,"A,S,E"
107,07153453,E
107,07153452,"E,S,C"
107,07153451,"E,C,I"
107,07153450,"S,E,R"
107,07153449,"S,I,C"
107,07153448,"E,S"
107,07153447,"C,E,S"
107,07153445,"C,I"
107,07153444,"E,S"
107,07153443,"E,A,S"
107,07153442,"S,E,C"
107,07153441,"A,E,S"
107,07153440,"R,C,I"
107,07153439,"S,R,C"
107,07153438,"I,S,C"
107,07153436,"S,C,E,R"
107,07153435,"S,R"
107,07153434,"E,S"
107,07153433,"A,E,R,S"
107,07153432,"S,C,R"
107,07153431,"E,C,R"
107,07153430,"E,S"
107,07153428,"C,S,A,R"
107,07153427,"A,S,E"
107,07153426,"C,A,E,R"
107,07153425,"S,C,R"
107,07153424,"R,C,I,S"
107,07153422,"E,R"
107,07153421,"I,E,S"
107,07153420,"S,R"
107,07153419,"E,S,R"
107,07153418,"S,A,E"
107,07153416,"S,C,R"
107,07153415,"S,R,C"
107,07153414,"C,E,R,S"
107,07153413,"E,R,S"
107,07153412,"C,E,R,S"
107,07153411,"E,C,R,S"
107,07153410,"C,R,E,S"
107,07153409,"C,R,I"
107,07153408,"E,R,S"
107,07153407,"I,C,R,S"
107,07153406,"S,C,R"
107,07153405,"C,S"
107,07153403,"C,E,S"
107,07153402,"R,I,E"
107,07153401,"C,I,R,S"
107,07153372,"S,E"
107,07153371,"C,R,E,S"
107,07153358,I
107,07153357,C
107,07153356,"S,C,E,R"
107,07153355,"S,A,R"
107,07153354,"S,E,A"
107,07153353,"E,A,S"
107,07153352,"C,E,I,S"
107,07153351,A
107,07153350,"A,C,E,R"
107,07153349,"C,S,E,R"
107,07153348,"I,R"
107,07153347,"C,E,R,S"
107,07153346,"A,S,E,R"
107,07153344,"C,E,S"
107,07153343,"S,A,E"
107,07153342,"S,C,E"
107,07153340,"E,R,S"
107,07153339,"C,S"
107,07153338,"C,R,S"
107,07153337,"I,C,S"
107,07153336,"C,S,I,R"
107,07153335,"S,C,R"
107,07153334,"S,E,R"
107,07153333,"S,C,A"
107,07153332,"C,S"
107,07153331,"A,R,S"
107,07153330,"C,S,E"
107,07153328,"C,R,S"
107,07153327,"S,R"
107,07153326,"C,R"
107,07153325,"S,C,E"
107,07153324,"C,S,A"
107,07153323,"S,A,R"
107,07153322,"E,S,C,I"
107,07153321,"E,A,C,I"
107,07153320,"C,S,I,R"
107,07153319,"E,C,R"
107,07153318,"R,S,E"
107,07153317,"S,C,E"
107,07153316,"S,E,R"
107,07153315,"R,A,C,S"
107,07153314,"R,E"
107,07153313,"E,A,S"
107,07153312,"C,S,E"
107,07153309,"C,S,E"
107,07153307,"S,A,E,R"
107,07153306,"A,C,R,S"
107,07153305,"A,C,E,S"
107,07153304,"A,C,R"
107,07153303,"E,S,C"
107,07153302,"E,S,R"
107,07153272,"A,S,E,I"
107,07153257,"S,R"
107,07153256,"C,R,E,I"
107,07153255,"A,E,S"
107,07153253,"R,A,E,S"
107,07153252,"S,A"
107,07153251,"C,A,E"
107,07153250,"S,A,C,E"
107,07153245,"S,R,A"
107,07153244,"R,S,C"
107,07153243,R
107,07153242,"A,E,S"
107,07153241,"E,C,S"
107,07153240,"E,S,I"
107,07153239,C
107,07153237,"C,E,R"
107,07153236,"C,I,R"
107,07153235,"R,S,C"
107,07153234,"C,S,R"
107,07153233,"A,C"
107,07153232,"C,E,R,S"
107,07153231,"R,S,C"
107,07153230,"C,I"
107,07153229,"S,C,E"
107,07153228,"C,R,S"
107,07153225,"E,S,A,R"
107,07153223,"E,A"
107,07153222,"R,C"
107,07153221,"S,C,R"
107,07153220,"A,S"
107,07153219,"C,E,I"
107,07153218,"S,E,R"
107,07153217,"R,S,C"
107,07153215,"S,A"
107,07153214,"A,E,R"
107,07153213,"A,S,R"
107,07153212,"S,R,A"
107,07153211,"S,C,I,R"
107,07153210,"S,C,E,R"
107,07153209,"A,C,R"
107,07153208,"R,S"
107,07153207,"A,C,R,S"
107,07153206,"S,E,A"
107,07153205,"A,C,E,I,S,R"
107,07153203,"E,C,R"
107,07153202,"R,S"
107,07153201,"I,C,R"
107,07153158,"S,A,E"
107,07153157,C
107,07153156,"S,C,E"
107,07153155,"E,I"
107,07153153,"A,E,R"
107,07153152,"C,E,I,S"
107,07153151,"E,I"
107,07153150,"A,I"
107,07153149,"E,I,R"
107,07153147,"A,S"
107,07153146,"E,I"
107,07153145,"A,C,E"
107,07153144,"A,R,S"
107,07153143,"A,S,I"
107,07153141,"C,S"
107,07153140,"I,A,R"
107,07153139,"E,S"
107,07153138,"R,S,I"
107,07153137,"S,R"
107,07153135,"A,S,C"
107,07153134,"C,I,S"
107,07153133,"C,A,I,S"
107,07153132,"I,E"
107,07153131,"C,A,E"
107,07153130,"A,C,E,S"
107,07153129,"C,S,I,R"
107,07153128,"A,E,S"
107,07153127,"A,C,I"
107,07153126,"C,I,S"
107,07153125,"I,C,S"
107,07153124,"C,E,S"
107,07153123,"E,I,R"
107,07153121,"S,I"
107,07153120,"A,C"
107,07153119,"C,R,E,S"
107,07153118,"C,E,R,S"
107,07153117,"C,E,I"
107,07153116,"S,A,E"
107,07153115,"R,C,S"
107,07153113,"C,S"
107,07153111,"S,R,E"
107,07153110,"A,C,I,R"
107,07153109,"S,C,R"
107,07153108,"C,R,I"
107,07153106,"E,C,I"
107,07153105,"C,E,R"
107,07153104,"E,R,S"
107,07153103,"C,S,R"
107,07153102,"A,C,I,R,S,E"
107,07153101,"A,S,E"
107,07152801,"A,R,S"
107,07152701,"A,R,I"
107,07152458,"R,I,A"
107,07152457,"R,A"
107,07152456,"C,E,R,S"
107,07152455,"S,A,C"
107,07152454,"C,S"
107,07152453,"S,C,I,R"
107,07152452,"R,S,C"
107,07152451,"S,A,I,R"
107,07152450,"C,S,I"
107,07152449,"A,C,E"
107,07152448,"R,C,S"
107,07152445,"C,R"
107,07152444,"R,S,C"
107,07152443,"R,S"
107,07152442,"C,S,A"
107,07152441,"R,C"
107,07152439,"C,R,I"
107,07152438,"S,C,R"
107,07152437,"S,R,C"
107,07152436,"I,R,S"
107,07152435,"R,C,I"
107,07152434,"C,I,E"
107,07152433,"R,C"
107,07152432,"S,R,C"
107,07152430,A
107,07152429,"I,A,E"
107,07152428,"S,I"
107,07152427,"A,R"
107,07152426,"R,S,C,I"
107,07152425,"S,A,I"
107,07152424,"R,S"
107,07152422,"S,E"
107,07152421,"C,S,E"
107,07152420,"E,I,R"
107,07152419,"C,I,S"
107,07152418,"A,I,S"
107,07152416,"A,E,S"
107,07152415,"A,S,I,R"
107,07152413,"E,I,S"
107,07152411,"R,C,S"
107,07152410,"A,I,C"
107,07152409,"S,I"
107,07152407,"A,S,E,R"
107,07152406,"R,C"
107,07152405,"A,C,I,S"
107,07152404,"I,R,S"
107,07152403,"C,E,R"
107,07152402,"C,E,S"
107,07152401,"S,A,E"
107,07152357,"C,I,R"
107,07152356,"C,S,R"
107,07152355,"C,S"
107,07152354,"C,R,S"
107,07152353,"C,I,S"
107,07152352,"C,R,A"
107,07152351,"C,S,R"
107,07152349,"E,A,C,S"
107,07152348,"R,S,I"
107,07152347,"R,C,S"
107,07152346,"C,S,A,R"
107,07152345,"E,S"
107,07152344,"C,S"
107,07152343,"C,I,R"
107,07152342,"I,R,S"
107,07152341,"C,R,I"
107,07152339,"C,R,I"
107,07152338,"E,C,S"
107,07152337,I
107,07152335,"C,I,S"
107,07152334,"C,S,R"
107,07152333,"C,R,A"
107,07152332,"R,C,I"
107,07152330,"C,S,E"
107,07152328,"E,S,C"
107,07152327,"S,C,I,R"
107,07152326,"C,R,E"
107,07152325,"A,I,C"
107,07152324,"C,R,A"
107,07152323,"A,R,C"
107,07152322,"S,A"
107,07152321,"R,C,E,S"
107,07152319,"E,C,A"
107,07152318,"C,S,E"
107,07152317,"C,E,I"
107,07152315,"R,S"
107,07152314,"A,C,R"
107,07152313,"E,C,I"
107,07152312,"R,C,S"
107,07152311,"C,E,R"
107,07152310,"R,I"
107,07152309,"R,A"
107,07152308,"R,C,E,S"
107,07152307,"S,E"
107,07152306,"A,I,R,S"
107,07152305,"S,C,E,I"
107,07152304,"S,C"
107,07152303,"I,R,S"
107,07152302,"S,R,I"
107,07152301,"A,S"
107,07152271,"A,R,S"
107,07152258,"I,R,E"
107,07152257,"A,C,R"
107,07152256,"R,A,I"
107,07152255,"R,A,C"
107,07152254,"E,A,S"
107,07152253,"I,R,C"
107,07152252,"S,C,I,R"
107,07152251,"S,A,C"
107,07152250,"E,A"
107,07152249,"C,I,A"
107,07152248,"A,E,R,S"
107,07152247,"S,A,R"
107,07152246,"I,A,S"
107,07152245,"S,A,R"
107,07152244,"R,S"
107,07152243,"S,E"
107,07152242,"S,E,R"
107,07152241,"A,C,R,S"
107,07152240,"C,R,S"
107,07152239,"I,R,S"
107,07152238,"S,C,R"
107,07152237,"E,A,C,R"
107,07152236,"A,R"
107,07152235,"E,S,A"
107,07152234,"R,C,S"
107,07152233,"S,C,R"
107,07152232,"S,E,A"
107,07152231,"A,I,R"
107,07152230,"S,I,R"
107,07152229,"A,R"
107,07152227,"C,S,E,I"
107,07152226,"R,C"
107,07152225,"A,I,R"
107,07152224,"C,S"
107,07152223,"E,A,I,S"
107,07152222,"A,R,S"
107,07152221,E
107,07152220,"R,A,I"
107,07152219,"A,E,S"
107,07152217,"C,I,R,S"
107,07152216,"A,C,R"
107,07152215,"S,I,R"
107,07152214,"I,R"
107,07152213,"A,C"
107,07152212,"R,C,S"
107,07152211,"C,I"
107,07152210,"E,R,C"
107,07152208,"A,E,R"
107,07152207,"S,C"
107,07152206,"I,A"
107,07152205,"A,E,R,S"
107,07152204,"C,R,A"
107,07152203,"A,S"
107,07152202,"A,C,I"
107,07152201,"A,C,E,I,R,S"
107,07152172,"I,A,C,E"
107,07152171,"I,R"
107,07152159,"S,C,E"
107,07152158,"A,C,I,R,S,E"
107,07152156,"A,R,S"
107,07152155,"A,E,R,S"
107,07152153,"S,C,I,R"
107,07152152,"S,C,R"
107,07152151,"I,R,A"
107,07152150,"A,C"
107,07152149,"S,C"
107,07152148,"S,I,R"
107,07152147,"I,R,C"
107,07152146,"A,I,R"
107,07152145,"C,R,A,I"
107,07152144,"I,R,S"
107,07152143,"I,A,C"
107,07152142,"R,S"
107,07152141,"S,C,E"
107,07152140,"S,C,I"
107,07152138,"R,S,C"
107,07152137,"R,S,I"
107,07152136,"C,S"
107,07152135,"R,A,C,S"
107,07152134,"C,R,A,S"
107,07152133,"E,I,S"
107,07152132,"A,R,S"
107,07152131,"C,I,S"
107,07152130,"I,R,S"
107,07152129,"R,C"
107,07152128,"S,I,R"
107,07152127,"R,C,S"
107,07152126,"R,A,S"
107,07152125,"S,E,R"
107,07152124,"R,C,I"
107,07152123,"A,C,I,S"
107,07152122,"C,A,R,S"
107,07152121,"C,I"
107,07152120,"C,I,R"
107,07152118,"S,I,A"
107,07152117,"S,I,R"
107,07152116,"R,A"
107,07152113,"I,R,A"
107,07152112,"A,C,I"
107,07152111,"R,C,S"
107,07152110,"I,A,R"
107,07152109,"C,R"
107,07152108,"A,C"
107,07152107,"E,A,S"
107,07152106,"S,I"
107,07152105,"A,C,I,S"
107,07152103,"R,S"
107,07152102,"I,R,S"
107,07152101,"S,C"
107,07151701,"I,S"
107,07151601,"I,E,S"
107,07151501,"R,S,I"
107,07151358,"C,R,E"
107,07151357,"C,I,R,S"
107,07151356,"C,R"
107,07151355,"C,I,S"
107,07151354,"R,S,C"
107,07151353,"E,C,S"
107,07151352,"R,A,C,S"
107,07151351,"A,C,E,S"
107,07151350,"S,C,R"
107,07151349,"A,E,S"
107,07151348,"S,C"
107,07151347,"C,E,R,S"
107,07151346,"S,A,C"
107,07151345,"E,I,S"
107,07151344,"E,S"
107,07151343,"E,S"
107,07151342,"E,S,C"
107,07151341,"E,C,S"
107,07151340,"I,S,C"
107,07151339,"C,E,S"
107,07151338,"I,R,E"
107,07151337,"S,A,R"
107,07151336,"S,R,I"
107,07151335,"A,C,R"
107,07151334,"A,C,E,I,S,R"
107,07151333,"A,I,S"
107,07151332,"A,S,C"
107,07151330,"I,S"
107,07151329,"I,C,S"
107,07151328,"R,I,S"
107,07151327,"S,C,R"
107,07151326,"S,C,R"
107,07151325,"R,S"
107,07151324,"R,S,A"
107,07151323,"C,I,S"
107,07151322,"R,A"
107,07151321,"R,S"
107,07151320,S
107,07151319,"E,S"
107,07151317,"R,I,S"
107,07151316,"C,S,R"
107,07151315,"E,C,R"
107,07151314,"C,R,S"
107,07151313,"C,R,S"
107,07151312,"C,I,R"
107,07151311,"S,C,R"
107,07151309,"R,E,C"
107,07151308,"A,R,C"
107,07151306,"S,A,R"
107,07151305,"R,A"
107,07151304,"C,E,S"
107,07151302,"I,C,S"
107,07151301,"I,R,C"
107,07151257,"S,C,A"
107,07151255,"A,I,R,S"
107,07151254,R
107,07151253,"E,R,S"
107,07151252,"A,E,S"
107,07151251,"C,R,S"
107,07151250,"R,C"
107,07151248,"S,R"
107,07151247,"R,S,C"
107,07151246,"C,R"
107,07151245,"R,I,S"
107,07151244,"A,C,I"
107,07151243,I
107,07151242,"A,S"
107,07151241,"C,R,S"
107,07151240,"S,C,R"
107,07151239,"C,E,R"
107,07151238,"C,I"
107,07151237,"E,S"
107,07151236,"A,R,C"
107,07151235,"R,S,A,C"
107,07151234,"E,R,C"
107,07151232,"S,C,R"
107,07151230,"R,C,S"
107,07151229,R
107,07151228,"S,R"
107,07151227,"C,I,R"
107,07151226,"R,C,E,S"
107,07151225,"A,R,S"
107,07151224,"C,S"
107,07151223,"C,S"
107,07151221,"A,I,C"
107,07151219,"E,R,C"
107,07151217,"R,C,E"
107,07151215,"E,C,I"
107,07151214,"A,I,S"
107,07151213,"E,C,I,R"
107,07151212,"A,S"
107,07151211,"C,S"
107,07151210,"C,S"
107,07151209,"S,A,C"
107,07151207,"S,A,R"
107,07151206,"R,C,S"
107,07151205,"C,R,I"
107,07151204,"A,E,R"
107,07151201,"R,I,S"
107,07151159,"S,E,R"
107,07151158,"E,R"
107,07151157,"A,C,I"
107,07151156,"S,C,E"
107,07151155,"S,C"
107,07151154,"I,R,A"
107,07151153,"R,S,C"
107,07151152,"R,A,C,S"
107,07151151,"I,R,S"
107,07151150,"C,A,I,S"
107,07151149,"C,I,R"
107,07151148,"R,C,I"
107,07151147,"S,C,R"
107,07151146,"R,S"
107,07151145,"C,S,I"
107,07151144,"C,I,S"
107,07151143,"C,E,R"
107,07151142,"C,I,E,S"
107,07151141,"S,R,I"
107,07151140,"S,C,R"
107,07151138,"I,C"
107,07151137,"E,A,C"
107,07151136,"S,A,C,R"
107,07151135,"I,R,S"
107,07151133,"R,C,I"
107,07151132,"E,S"
107,07151131,"C,I,R"
107,07151130,"E,I,S"
107,07151129,"C,E,I"
107,07151128,"E,I,S"
107,07151127,"A,C,I"
107,07151126,"S,R,C"
107,07151125,"S,I,R"
107,07151123,"R,S"
107,07151121,"I,S,C,R"
107,07151120,"S,C"
107,07151119,"C,R,A"
107,07151118,"C,S,R"
107,07151117,"C,I,S"
107,07151116,"I,R,E"
107,07151114,"E,C"
107,07151113,"S,C"
107,07151112,A
107,07151109,"R,S,I"
107,07151108,"I,A,C,R"
107,07151107,"C,I,R"
107,07151106,"C,I"
107,07151105,"E,C,S"
107,07151104,"A,S,R"
107,07151103,"C,I,R,S"
107,07151102,"C,E,R"
107,07151101,"R,S,A"
107,07141801,"E,R,C,I"
107,07141701,"A,S"
107,07141456,"I,R"
107,07141455,"I,R,C"
107,07141451,"S,C,I"
107,07141450,C
107,07141448,"C,R,S"
107,07141447,"I,S,A,C"
107,07141446,"S,A,R"
107,07141444,"A,S,R"
107,07141442,"A,R"
107,07141441,"A,R"
107,07141440,"R,I"
107,07141437,"S,A,E"
107,07141436,"S,C,R"
107,07141435,"E,I,R"
107,07141434,"C,R,S"
107,07141433,"I,C,R"
107,07141431,"R,C,E"
107,07141430,"S,C,R"
107,07141429,"C,I,R"
107,07141428,S
107,07141427,"A,E"
107,07141425,"S,A,C,E"
107,07141424,"S,R,E"
107,07141423,"A,S,C"
107,07141422,"E,S,A,R"
107,07141421,"I,C,R"
107,07141420,"S,E"
107,07141419,"A,R,C"
107,07141418,"I,R,A,S"
107,07141417,"C,S"
107,07141415,"S,A"
107,07141414,"A,C,S"
107,07141413,"S,I"
107,07141411,"C,S,I"
107,07141410,"E,R,S"
107,07141409,"E,C,I"
107,07141408,"E,S,R"
107,07141407,"C,S,A"
107,07141406,"I,R"
107,07141404,"A,I,R,S"
107,07141403,"C,E,S"
107,07141401,"S,E"
107,07141356,"A,E,R"
107,07141355,"I,R,S"
107,07141354,"I,S"
107,07141353,"A,R,S"
107,07141352,"A,R,S"
107,07141351,"S,R,E"
107,07141350,"R,S,A"
107,07141349,"C,I,S"
107,07141346,"R,C,I"
107,07141342,"S,A,C"
107,07141341,"R,I"
107,07141340,"A,E,R"
107,07141337,"A,S"
107,07141331,"A,E,R,S"
107,07141329,"S,A,C"
107,07141328,"S,E"
107,07141326,"A,S"
107,07141325,"C,I,R"
107,07141323,"S,C,R"
107,07141321,"A,C,E,R"
107,07141320,"C,S,R"
107,07141319,"I,R"
107,07141318,"S,E,I"
107,07141317,"A,R"
107,07141315,"C,I,R,S"
107,07141313,"R,A,I,S"
107,07141312,"C,I"
107,07141311,"A,S"
107,07141309,"S,E,I"
107,07141308,"S,A,C,R"
107,07141307,"R,C"
107,07141306,"R,C,E"
107,07141303,"E,R,S"
107,07141256,"S,C,R"
107,07141255,"A,S"
107,07141254,"A,E,S"
107,07141253,"C,I,R"
107,07141251,"C,R,E"
107,07141250,"S,C"
107,07141249,"C,S,R"
107,07141247,"S,A,I"
107,07141246,"A,I,R,S"
107,07141245,"S,R"
107,07141244,"A,S,C"
107,07141243,"E,C"
107,07141242,"A,E,S"
107,07141241,"S,A"
107,07141240,"A,S,C,R"
107,07141239,"A,E,S"
107,07141238,"R,S"
107,07141237,"A,S,E"
107,07141236,"C,S"
107,07141235,"S,A,E"
107,07141234,"R,C,S"
107,07141233,"C,S,E"
107,07141231,"A,E,R,S"
107,07141230,"C,E,R"
107,07141229,"C,S,I"
107,07141228,"S,R"
